program_name,program_url
Honours BA History (Sussex) LLB Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3084&p=7029&s=1151&y=92
Honours BA History (Sussex) LLB Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3143&p=7213&s=1153&y=92
Honours BA History in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3084&p=7024&s=1151&y=92
Honours BA History in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3143&p=7208&s=1153&y=92
Honours BA Human Rights,https://academic-calendar.wlu.ca/program.php?cal=1&d=3137&p=7186&s=1153&y=92
Honours BA Human Rights and LLB (Sussex) Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3137&p=7187&s=1153&y=92
Honours BA Human Rights in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3137&p=7185&s=1153&y=92
Honours BA Human Rights: Advanced Standing Programs,https://academic-calendar.wlu.ca/program.php?cal=1&d=3137&p=7190&s=1153&y=92
Honours BA Humanities with Leadership Foundations,https://academic-calendar.wlu.ca/program.php?cal=1&d=3153&p=7235&s=1153&y=92
Honours BA Humanities with Leadership Foundations and LLB (Sussex) Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3153&p=7234&s=1153&y=92
Honours BA Indigenous Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3138&p=7192&s=1153&y=92
Honours BA International Education Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3107&p=7062&s=1151&y=92
Honours BA International Education Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3179&p=7273&s=1161&y=92
Honours BA Labour Studies and Career Development - Admissions Suspended 2019-20,https://academic-calendar.wlu.ca/program.php?cal=1&d=3151&p=7228&s=1153&y=92
Honours BA Labour Studies and Career Development in Combination with another Honours BA Program - Admissions Suspended 2019-20,https://academic-calendar.wlu.ca/program.php?cal=1&d=3151&p=7229&s=1153&y=92
Honours BA Languages,https://academic-calendar.wlu.ca/program.php?cal=1&d=3087&p=7031&s=1151&y=92
"Honours BA Languages, Co-operative Education",https://academic-calendar.wlu.ca/program.php?cal=1&d=3087&p=7032&s=1151&y=92
Honours BA Law and Society,https://academic-calendar.wlu.ca/program.php?cal=1&d=3145&p=7217&s=1153&y=92
Honours BA Law and Society and LLB (Sussex) Stream,https://academic-calendar.wlu.ca/program.php?cal=1&d=3145&p=7221&s=1153&y=92
Honours BA Law and Society in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3145&p=7218&s=1153&y=92
Honours BA Leadership,https://academic-calendar.wlu.ca/program.php?cal=1&d=3182&p=7283&s=1165&y=92
Honours BA Leadership in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3182&p=7284&s=1165&y=92
Honours BA Mathematics,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7149&s=1152&y=92
Honours BA Mathematics in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7150&s=1152&y=92
Honours BA Mathematics with Finance and Accounting Option,https://academic-calendar.wlu.ca/program.php?cal=1&d=3120&p=7152&s=1152&y=92
Honours BA Medieval and Medievalism Studies in Combination with another Honours BA Program,https://academic-calendar.wlu.ca/program.php?cal=1&d=3088&p=7033&s=1151&y=92
Honours BA Multidisciplinary Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3196&p=7350&s=1151&y=92
Honours BA Multidisciplinary Studies,https://academic-calendar.wlu.ca/program.php?cal=1&d=3197&p=7351&s=1165&y=92
